Company Name,Ticker,Industry,Business Model 1,Business Model 2,Business Model 3,Company Power #1,Company Power #2,Company Power #3,Mechanism #1,Mechanism #2,Mechanism #3
Liberty Global Ltd.,LBTYA_US,Cable MSO,Physical Infra & Networks,Serial Acquirer,Mission-Critical Products & Services,Scale,Switching Costs,Cornered Resource,Scale: Area/Volume Relationships,Switching Costs: Contractual Lock-In,Cornered Resource: Scarce Natural Asset
Liberty Latin America Ltd.,LILAK_US,Latin Cable,Physical Infra & Networks,Low Cost Operators,Serial Acquirer,Scale,Switching Costs,Cornered Resource,Scale: Area/Volume Relationships,Switching Costs: Contractual Lock-In,Cornered Resource: Scarce Natural Asset
Lifecore Biomedical Inc.,LFCR_US,Biomaterials CDMO,Mission-Critical Products & Services,B2B Middlemen,Unique IP & Brands,Switching Costs,Process Power,Cornered Resource,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines,Cornered Resource: Exclusive Ip
LifeMD Inc.,LFMD_US,Telehealth,Mission-Critical Products & Services,B2B Software,Vertically Integrated Retailer,Scale,Brand,Process Power,Scale: Area/Volume Relationships,Brand: Trust Halo,Process Power: Proprietary Routines
Lifetime Brands Inc.,LCUT_US,Housewares & Specialties,Unique IP & Brands,Serial Acquirer,Low Cost Operators,Brand,Scale,Process Power,Brand: Trust Halo,Scale: Purchasing Clout,Process Power: Proprietary Routines
Light & Wonder Inc.,LNW_US,Gaming Hardware and Content,OEMs w/ Installed Base,Unique IP & Brands,B2B Software,Switching Costs,Cornered Resource,Scale,Switching Costs: Contractual Lock-In,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
Lightspeed POS,LSPD_CA,Point-of-Sale,B2B Software,Marketplaces & Platforms,Serial Acquirer,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Purchasing Clout,Network Effects: Cross-Side
Limbach Holdings Inc.,LMB_US,Construction and Engineering: HVAC Services,Mission-Critical Products & Services,Low Cost Operators,Serial Acquirer,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Contractual Lock-In
Linamar,LNR_CA,Auto Suppliers: Powertrain Products,Mission-Critical Products & Services,OEMs w/ Installed Base,Low Cost Operators,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines
Lindblad Expeditions Holdings Inc.,LIND_US,Expedition Cruises,Unique IP & Brands,Mission-Critical Products & Services,Vertically Integrated Retailer,Cornered Resource,Brand,Scale,Cornered Resource: Scarce Natural Asset,Brand: Emotional Resonance,Scale: Purchasing Clout
Linde plc,LIN_US,Industrial Gases,Physical Infra & Networks,Mission-Critical Products & Services,Low Cost Operators,Scale,Switching Costs,Cornered Resource,Scale: Area/Volume Relationships,Switching Costs: Contractual Lock-In,Cornered Resource: Scarce Natural Asset
Lindt & Sprüngli,LISN_CH,Premium Chocolate,Unique IP & Brands,Vertically Integrated Retailer,,Brand,Scale,Process Power,Brand: Status Signaling,Scale: Purchasing Clout,Process Power: Proprietary Routines
Li-Ning,2331_HK,Athletic Footwear,Unique IP & Brands,Vertically Integrated Retailer,Low Cost Operators,Brand,Scale,Process Power,Brand: Status Signaling,Scale: Purchasing Clout,Process Power: Proprietary Routines
Li-Ning,2331_HK,Athletic Footwear,Unique IP & Brands,Vertically Integrated Retailer,Low Cost Operators,Brand,Scale,Process Power,Brand: Status Signaling,Scale: Purchasing Clout,Process Power: Proprietary Routines
Lithia Motors Inc.,LAD_US,Traditional Auto Dealer,Serial Acquirer,Vertically Integrated Retailer,Low Cost Operators,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
LivaNova PLC,LIVN_US,Cardiac Devices,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Switching Costs,Cornered Resource,Scale,Switching Costs: Retraining Time,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
Live Nation Entertainment Inc.,LYV_US,Live Events,Marketplaces & Platforms,Physical Infra & Networks,Serial Acquirer,Cornered Resource,Scale,Network Effects,Cornered Resource: Exclusive Ip,Scale: Purchasing Clout,Network Effects: Cross-Side
LivePerson Inc.,LPSN_US,Product Development Software & Service Platforms,B2B Software,Marketplaces & Platforms,Mission-Critical Products & Services,Switching Costs,Network Effects,Scale,Switching Costs: Data-Portability Frictions,Network Effects: Cross-Side,Scale: Learning-Curve Effects
LiveRamp Holdings Inc.,RAMP_US,Enterprise Software: CRM,B2B Software,Marketplaces & Platforms,Mission-Critical Products & Services,Network Effects,Switching Costs,Scale,Network Effects: Data Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
LKQ Corporation,LKQ_US,Auto Suppliers: Parts Distributor,B2B Middlemen,Serial Acquirer,Low Cost Operators,Scale,Network Effects,Process Power,Scale: Purchasing Clout,Network Effects: Same-Side,Process Power: Proprietary Routines
Loar Group,LOAR_US,Aircraft Components,Mission-Critical Products & Services,OEMs w/ Installed Base,Serial Acquirer,Switching Costs,Scale,Cornered Resource,Switching Costs: Contractual Lock-In,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Loblaw Companies,L_CA,Supermarkets,Vertically Integrated Retailer,Low Cost Operators,,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Lockheed Martin Corporation,LMT_US,Defense Contractor,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Cornered Resource,Switching Costs,Scale,Cornered Resource: Exclusive Ip,Switching Costs: Contractual Lock-In,Scale: Learning-Curve Effects
London Stock Exchange Group Plc,LSEG_GB,Financial Exchanges,Marketplaces & Platforms,Mission-Critical Products & Services,B2B Software,Network Effects,Switching Costs,Scale,Network Effects: Cross-Side,Switching Costs: Data-Portability Frictions,Scale: Area/Volume Relationships
Lonza Group AG,LONN_CH,Pharmaceutical CDMO,Mission-Critical Products & Services,B2B Software,Serial Acquirer,Switching Costs,Scale,Process Power,Switching Costs: Retraining Time,Scale: Learning-Curve Effects,Process Power: Proprietary Routines
L'Oréal,OR_FR,Beauty Conglomerate,Unique IP & Brands,Serial Acquirer,Vertically Integrated Retailer,Brand,Scale,Cornered Resource,Brand: Emotional Resonance,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Lotus Bakeries,LOTB_BE,Cookie Products,Unique IP & Brands,Low Cost Operators,,Brand,Scale,Process Power,Brand: Emotional Resonance,Scale: Purchasing Clout,Process Power: Proprietary Routines
Lowe's Companies Inc.,LOW_US,Home Improvement Retail,Vertically Integrated Retailer,Low Cost Operators,Physical Infra & Networks,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Lpp S.A./ADR,LPP_PL,Fast Fashion,Vertically Integrated Retailer,Low Cost Operators,Unique IP & Brands,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Status Signaling,Process Power: Proprietary Routines
LSB Industries Inc.,LXU_US,Nitrogen Fertilizers,Low Cost Operators,Mission-Critical Products & Services,Physical Infra & Networks,Scale,Cornered Resource,Process Power,Scale: Area/Volume Relationships,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
Lucid Group Inc.,LCID_US,EV Auto,Unique IP & Brands,OEMs w/ Installed Base,Vertically Integrated Retailer,Brand,Cornered Resource,Counter-Positioning,Brand: Status Signaling,Cornered Resource: Exclusive Ip,Counter-Positioning: Entrant Model Incumbents Can't Mimic Without Self-Harm
Luckin Coffee Inc,LKNCY_US,QSR,Low Cost Operators,Vertically Integrated Retailer,Franchisors,Scale,Process Power,Counter-Positioning,Scale: Purchasing Clout,Process Power: Flywheel Feedback,Counter-Positioning: Entrant Model Incumbents Can't Mimic Without Self-Harm
lululemon athletica inc.,LULU_US,Athletic Apparel,Unique IP & Brands,Vertically Integrated Retailer,,Brand,Scale,Process Power,Brand: Status Signaling,Scale: Purchasing Clout,Process Power: Proprietary Routines
Lumine Group,LMN_CA,Software Conglomerate,Serial Acquirer,B2B Software,Mission-Critical Products & Services,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Data-Portability Frictions,Process Power: Proprietary Routines
LuxExperience B.V.,LUXE_US,Luxury Fashion,Unique IP & Brands,Vertically Integrated Retailer,,Brand,Scale,Cornered Resource,Brand: Status Signaling,Scale: Purchasing Clout,Cornered Resource: Superstar Talent
Lvmh Moet Hennessy Louis Vuitton,MC_FR,Luxury Goods,Unique IP & Brands,Serial Acquirer,Vertically Integrated Retailer,Brand,Scale,Cornered Resource,Brand: Status Signaling,Scale: Purchasing Clout,Cornered Resource: Superstar Talent
Lyft Inc.,LYFT_US,Ride-Hailing,Marketplaces & Platforms,Low Cost Operators,,Network Effects,Scale,Brand,Network Effects: Cross-Side,Scale: Area/Volume Relationships,Brand: Trust Halo
Lyft Inc.,LYFT_US,Ridesharing,Marketplaces & Platforms,Low Cost Operators,,Network Effects,Scale,Brand,Network Effects: Cross-Side,Scale: Area/Volume Relationships,Brand: Trust Halo
LyondellBasell Industries NV,LYB_US,Petrochemicals,Low Cost Operators,Physical Infra & Networks,Mission-Critical Products & Services,Scale,Cornered Resource,Process Power,Scale: Area/Volume Relationships,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
M/I Homes Inc.,MHO_US,Residential Construction,Low Cost Operators,Vertically Integrated Retailer,,Scale,Process Power,Cornered Resource,Scale: Purchasing Clout,Process Power: Proprietary Routines,Cornered Resource: Scarce Natural Asset
MACOM Technology Solutions Holdings Inc.,MTSI_US,Semiconductors: IDM,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Cornered Resource,Switching Costs,Scale,Cornered Resource: Exclusive Ip,Switching Costs: Retraining Time,Scale: Learning-Curve Effects
"Macy's, Inc.",M_US,Department Store,Vertically Integrated Retailer,Low Cost Operators,,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Madison Square Garden Entertainment Corp,MSGE_US,Arena Entertainment,Physical Infra & Networks,Unique IP & Brands,Mission-Critical Products & Services,Cornered Resource,Brand,Scale,Cornered Resource: Scarce Natural Asset,Brand: Emotional Resonance,Scale: Area/Volume Relationships
Magna International Inc.,MG_CA,Auto Suppliers: Structures,Mission-Critical Products & Services,Low Cost Operators,Serial Acquirer,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Contractual Lock-In
MagnaChip Semiconductor Corporation,MX_US,Semiconductors: IDM,OEMs w/ Installed Base,Unique IP & Brands,Low Cost Operators,Scale,Cornered Resource,Process Power,Scale: Area/Volume Relationships,Cornered Resource: Exclusive Ip,Process Power: Proprietary Routines
Magnite Inc.,MGNI_US,SSP Platform,Marketplaces & Platforms,B2B Software,Auctions & Classifieds,Network Effects,Scale,Switching Costs,Network Effects: Cross-Side,Scale: Area/Volume Relationships,Switching Costs: Data-Portability Frictions
MakeMyTrip Limited,MMYT_US,Online Travel,Marketplaces & Platforms,B2B Middlemen,,Network Effects,Scale,Brand,Network Effects: Cross-Side,Scale: Purchasing Clout,Brand: Trust Halo
Malibu Boats Inc.,MBUU_US,RV Manufacturing,Unique IP & Brands,OEMs w/ Installed Base,,Brand,Scale,Process Power,Brand: Status Signaling,Scale: Purchasing Clout,Process Power: Proprietary Routines
Manhattan Associates Inc.,MANH_US,Enterprise Software and ERP,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Data Network Effects
Maple Leaf Foods Inc,MFI_CA,Meat Processing,Low Cost Operators,Unique IP & Brands,Serial Acquirer,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Marine Products Corporation,MPX_US,RV Manufacturing,OEMs w/ Installed Base,Low Cost Operators,,Scale,Process Power,Brand,Scale: Purchasing Clout,Process Power: Proprietary Routines,Brand: Trust Halo
MarineMax Inc.,HZO_US,RB Retailer,Vertically Integrated Retailer,Serial Acquirer,,Scale,Brand,Cornered Resource,Scale: Purchasing Clout,Brand: Trust Halo,Cornered Resource: Scarce Natural Asset
MarketAxess Holdings Inc.,MKTX_US,Financial Exchanges,Marketplaces & Platforms,B2B Middlemen,Mission-Critical Products & Services,Network Effects,Switching Costs,Scale,Network Effects: Cross-Side,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
MarketWise Inc.,MKTW_US,Financial Data,B2B Software,Mission-Critical Products & Services,Serial Acquirer,Switching Costs,Scale,Cornered Resource,Switching Costs: Data-Portability Frictions,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Marqeta Inc.,MQ_US,Card Issuing,B2B Software,Marketplaces & Platforms,Mission-Critical Products & Services,Network Effects,Switching Costs,Scale,Network Effects: Cross-Side,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
Marriott International,MAR_US,Hotel Franchising,Franchisors,Unique IP & Brands,Marketplaces & Platforms,Brand,Scale,Network Effects,Brand: Trust Halo,Scale: Purchasing Clout,Network Effects: Same-Side
Marriott Vacations Worldwide Corporation,NYSE:VAC,Timeshare Development,Unique IP & Brands,Mission-Critical Products & Services,Serial Acquirer,Brand,Switching Costs,Scale,Brand: Trust Halo,Switching Costs: Contractual Lock-In,Scale: Purchasing Clout
Marten Transport Ltd.,MRTN_US,Truckload,Low Cost Operators,Physical Infra & Networks,Mission-Critical Products & Services,Scale,Process Power,Cornered Resource,Scale: Purchasing Clout,Process Power: Proprietary Routines,Cornered Resource: Scarce Natural Asset
Martin Marietta Materials Inc.,MLM_US,Aggregates,Physical Infra & Networks,Low Cost Operators,Serial Acquirer,Cornered Resource,Scale,Process Power,Cornered Resource: Scarce Natural Asset,Scale: Area/Volume Relationships,Process Power: Proprietary Routines
Martinrea International,MRE_CA,Auto Suppliers: Powertrain Products,Mission-Critical Products & Services,OEMs w/ Installed Base,Low Cost Operators,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines
Marvell Technology Inc.,MRVL_US,Fabless Design,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Cornered Resource,Scale,Switching Costs,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects,Switching Costs: Retraining Time
Masco Corporation,MAS_US,Building Products Manufacturers: Plumbing & Water,Unique IP & Brands,Serial Acquirer,Mission-Critical Products & Services,Brand,Scale,Switching Costs,Brand: Trust Halo,Scale: Purchasing Clout,Switching Costs: Retraining Time
Masimo Corporation,MASI_US,Patient Monitoring,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Cornered Resource,Switching Costs,Brand,Cornered Resource: Exclusive Ip,Switching Costs: Data-Portability Frictions,Brand: Trust Halo
MasTec Inc.,MTZ_US,Construction and Engineering: Utility Infrastructure,Mission-Critical Products & Services,Low Cost Operators,Serial Acquirer,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
MasterBrand Inc.,MBC_US,Building Products Manufacturers: Cabinetry,Unique IP & Brands,Low Cost Operators,Serial Acquirer,Brand,Scale,Process Power,Brand: Trust Halo,Scale: Purchasing Clout,Process Power: Proprietary Routines
Mastercard Incorporated,MA_US,Card Network,Marketplaces & Platforms,Physical Infra & Networks,Mission-Critical Products & Services,Network Effects,Scale,Brand,Network Effects: Cross-Side,Scale: Area/Volume Relationships,Brand: Trust Halo
MasterCraft Boat Holdings Inc.,MCFT_US,RV Manufacturing,Unique IP & Brands,OEMs w/ Installed Base,,Brand,Scale,Process Power,Brand: Status Signaling,Scale: Purchasing Clout,Process Power: Proprietary Routines
Match Group Inc.,MTCH_US,Dating Apps,Marketplaces & Platforms,Serial Acquirer,Unique IP & Brands,Network Effects,Scale,Brand,Network Effects: Cross-Side,Scale: Learning-Curve Effects,Brand: Emotional Resonance
Mattel Inc.,MAT_US,Traditional Toy Manufacturing,Unique IP & Brands,Low Cost Operators,,Brand,Scale,Cornered Resource,Brand: Emotional Resonance,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Maxeon Solar Technologies Ltd.,NASDAQGS:MAXN,Premium Solar,Unique IP & Brands,Mission-Critical Products & Services,OEMs w/ Installed Base,Brand,Cornered Resource,Scale,Brand: Trust Halo,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
MaxLinear Inc,MXL_US,Fabless Design,Unique IP & Brands,OEMs w/ Installed Base,Mission-Critical Products & Services,Cornered Resource,Switching Costs,Scale,Cornered Resource: Exclusive Ip,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
Mazda Motor Corp,7261_JP,Auto OEM,OEMs w/ Installed Base,Unique IP & Brands,,Brand,Process Power,Scale,Brand: Emotional Resonance,Process Power: Proprietary Routines,Scale: Purchasing Clout
McCormick & Company Incorporated,MKC_US,Spices & Seasonings,Unique IP & Brands,Serial Acquirer,Mission-Critical Products & Services,Brand,Scale,Cornered Resource,Brand: Trust Halo,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
McDonald's Corporation,MCD_US,QSR,Franchisors,Low Cost Operators,Unique IP & Brands,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
McGrath RentCorp,MGRC_US,Equipment Rental,Mission-Critical Products & Services,Low Cost Operators,Physical Infra & Networks,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
Medpace Holdings Inc.,MEDP_US,Clinical Trials,Mission-Critical Products & Services,B2B Software,,Scale,Process Power,Switching Costs,Scale: Learning-Curve Effects,Process Power: Proprietary Routines,Switching Costs: Contractual Lock-In
Medtronic plc.,MDT_US,Medical Technology,Mission-Critical Products & Services,OEMs w/ Installed Base,Serial Acquirer,Switching Costs,Scale,Brand,Switching Costs: Retraining Time,Scale: Purchasing Clout,Brand: Trust Halo
Melco Resorts & Entertainment Limited,MLCO_US,Casinos and Resorts,Physical Infra & Networks,Unique IP & Brands,Mission-Critical Products & Services,Cornered Resource,Brand,Scale,Cornered Resource: Scarce Natural Asset,Brand: Status Signaling,Scale: Area/Volume Relationships
Melrose Industries Plc.,LSE:MRO,Aerospace Components,Serial Acquirer,Mission-Critical Products & Services,Low Cost Operators,Process Power,Scale,Switching Costs,Process Power: Proprietary Routines,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In
Mercedes-Benz Group AG,MBG_DE,Auto OEM,Unique IP & Brands,OEMs w/ Installed Base,Mission-Critical Products & Services,Brand,Scale,Process Power,Brand: Status Signaling,Scale: Purchasing Clout,Process Power: Proprietary Routines
MeridianLink Inc.,MLNK_US,Enterprise Software: VMS,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Process Power,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Process Power: Proprietary Routines
Merit Medical Systems Inc.,MMSI_US,Cardiovascular Devices,Mission-Critical Products & Services,Serial Acquirer,OEMs w/ Installed Base,Switching Costs,Scale,Brand,Switching Costs: Retraining Time,Scale: Purchasing Clout,Brand: Trust Halo
Meritage Homes Corporation,MTH_US,Residential Construction,Low Cost Operators,Vertically Integrated Retailer,,Scale,Process Power,Cornered Resource,Scale: Purchasing Clout,Process Power: Proprietary Routines,Cornered Resource: Scarce Natural Asset
Methanex Corporation,MX_CA,Methanol,Low Cost Operators,Physical Infra & Networks,Mission-Critical Products & Services,Scale,Cornered Resource,Process Power,Scale: Area/Volume Relationships,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
MGM Resorts International,MGM_US,Casinos and Resorts,Physical Infra & Networks,Unique IP & Brands,Vertically Integrated Retailer,Cornered Resource,Brand,Scale,Cornered Resource: Scarce Natural Asset,Brand: Status Signaling,Scale: Area/Volume Relationships
MGP Ingredients Inc.,MGPI_US,Grain Alcohol,Low Cost Operators,Mission-Critical Products & Services,B2B Middlemen,Scale,Process Power,Cornered Resource,Scale: Purchasing Clout,Process Power: Proprietary Routines,Cornered Resource: Scarce Natural Asset
Michelin Compagnie Generale Des Etablissements Michelin,ML_FR,Tire Manufacturing,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Microchip Technology Incorporated,MCHP_US,Semiconductors: IDM,Mission-Critical Products & Services,Serial Acquirer,OEMs w/ Installed Base,Switching Costs,Scale,Process Power,Switching Costs: Retraining Time,Scale: Purchasing Clout,Process Power: Proprietary Routines
Micron Technology Inc.,MU_US,Semiconductors: IDM,Mission-Critical Products & Services,Low Cost Operators,OEMs w/ Installed Base,Scale,Process Power,Cornered Resource,Scale: Area/Volume Relationships,Process Power: Proprietary Routines,Cornered Resource: Exclusive Ip
Miller Industries Inc.,MLR_US,Heavy Equipment: Transportation,Mission-Critical Products & Services,OEMs w/ Installed Base,Low Cost Operators,Scale,Switching Costs,Brand,Scale: Purchasing Clout,Switching Costs: Retraining Time,Brand: Trust Halo
Millicom International Cellular S.A.,TIGO_US,Latin Telecom,Physical Infra & Networks,Mission-Critical Products & Services,Low Cost Operators,Scale,Cornered Resource,Switching Costs,Scale: Area/Volume Relationships,Cornered Resource: Scarce Natural Asset,Switching Costs: Contractual Lock-In
Minerals Technologies Inc.,MTX_US,Performance Minerals,Mission-Critical Products & Services,Low Cost Operators,Serial Acquirer,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
MINISO Group Holding Limited,MNSO_US,Value Retail,Low Cost Operators,Franchisors,Vertically Integrated Retailer,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Mitsubishi Electric Corp,6503_JP,HVAC: System Manufacturers,OEMs w/ Installed Base,Mission-Critical Products & Services,B2B Software,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Retraining Time,Process Power: Proprietary Routines
MKS Inc. Com,MKSI_US,Semiconductor Sub-Systems,Mission-Critical Products & Services,OEMs w/ Installed Base,Serial Acquirer,Switching Costs,Scale,Cornered Resource,Switching Costs: Retraining Time,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Modine Manufacturing Company,MOD_US,Electrical Components: Thermal,OEMs w/ Installed Base,Mission-Critical Products & Services,Low Cost Operators,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Retraining Time,Process Power: Proprietary Routines
Mohawk Industries Inc.,MHK_US,Building Products Manufacturers,Low Cost Operators,Serial Acquirer,Vertically Integrated Retailer,Scale,Process Power,Brand,Scale: Purchasing Clout,Process Power: Proprietary Routines,Brand: Trust Halo
Molson Coors Beverage Company,TAP_US,Beer,Unique IP & Brands,Low Cost Operators,Serial Acquirer,Brand,Scale,Process Power,Brand: Emotional Resonance,Scale: Purchasing Clout,Process Power: Proprietary Routines
Monarch Casino & Resort Inc.,MCRI_US,Casinos and Resorts,Physical Infra & Networks,Unique IP & Brands,Low Cost Operators,Cornered Resource,Brand,Scale,Cornered Resource: Scarce Natural Asset,Brand: Trust Halo,Scale: Area/Volume Relationships
Moncler SPA,MONC_IT,Luxury Outerwear,Unique IP & Brands,Vertically Integrated Retailer,,Brand,Cornered Resource,Scale,Brand: Status Signaling,Cornered Resource: Exclusive Ip,Scale: Purchasing Clout
monday.com Ltd.,MNDY_US,Productivity Software & Tools,B2B Software,Marketplaces & Platforms,,Network Effects,Switching Costs,Scale,Network Effects: Same-Side,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
Mondelez International Inc.,MDLZ_US,Snacks & Confectionery,Unique IP & Brands,Low Cost Operators,Serial Acquirer,Brand,Scale,Process Power,Brand: Emotional Resonance,Scale: Purchasing Clout,Process Power: Proprietary Routines
Mondi PLC,MNDI_GB,Flexible Packaging,Low Cost Operators,Mission-Critical Products & Services,Serial Acquirer,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Contractual Lock-In
MongoDB Inc.,MDB_US,Product Development Software & Service Platforms,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Data Network Effects
Monolithic Power Systems Inc.,MPWR_US,Fabless Design,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Scale,Cornered Resource,Switching Costs,Scale: Learning-Curve Effects,Cornered Resource: Exclusive Ip,Switching Costs: Retraining Time
Monro Inc.,MNRO_US,Auto Parts Retail,Low Cost Operators,Vertically Integrated Retailer,Serial Acquirer,Scale,Process Power,Brand,Scale: Purchasing Clout,Process Power: Proprietary Routines,Brand: Trust Halo
Monster Beverage Corporation,MNST_US,Energy Drinks,Unique IP & Brands,Low Cost Operators,,Brand,Scale,Cornered Resource,Brand: Emotional Resonance,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Moody's Corporation,MCO_US,Financial Data,Mission-Critical Products & Services,B2B Software,Unique IP & Brands,Brand,Switching Costs,Scale,Brand: Trust Halo,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
Moog Inc.,MOG/A_US,Motion Controls,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Switching Costs,Scale,Cornered Resource,Switching Costs: Retraining Time,Scale: Learning-Curve Effects,Cornered Resource: Exclusive Ip
Morningstar Inc.,MORN_US,Financial Data,Mission-Critical Products & Services,B2B Software,Unique IP & Brands,Switching Costs,Brand,Scale,Switching Costs: Data-Portability Frictions,Brand: Trust Halo,Scale: Learning-Curve Effects
Motorcar Parts of America Inc.,MPAA_US,Auto Suppliers: Aftermarket Parts,Low Cost Operators,OEMs w/ Installed Base,B2B Middlemen,Scale,Process Power,Brand,Scale: Purchasing Clout,Process Power: Proprietary Routines,Brand: Trust Halo
MRC Global Inc.,MRC_US,Industrial Distribution: Energy Distribution,B2B Middlemen,Mission-Critical Products & Services,Low Cost Operators,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Retraining Time,Process Power: Proprietary Routines
MSC Industrial Direct Company Inc.,MSM_US,Industrial Distribution: Industrial MRO,B2B Middlemen,Mission-Critical Products & Services,Low Cost Operators,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Retraining Time,Process Power: Proprietary Routines
MSCI Inc.,MSCI_US,Financial Data,Mission-Critical Products & Services,B2B Software,Unique IP & Brands,Switching Costs,Network Effects,Scale,Switching Costs: Data-Portability Frictions,Network Effects: Data Network Effects,Scale: Learning-Curve Effects
MTU Aero Engines,MTX_DE,Aircraft Engines,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Switching Costs,Scale,Cornered Resource,Switching Costs: Contractual Lock-In,Scale: Learning-Curve Effects,Cornered Resource: Exclusive Ip
Myers Industries Inc.,MYE_US,Plastic Products,Low Cost Operators,OEMs w/ Installed Base,B2B Middlemen,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Retraining Time
MYR Group Inc.,MYRG_US,Construction and Engineering: Electrical Infrastructure,Mission-Critical Products & Services,Low Cost Operators,Physical Infra & Networks,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Superstar Talent,Process Power: Proprietary Routines
Myriad Genetics Inc.,MYGN_US,Genetic Testing,Mission-Critical Products & Services,Unique IP & Brands,B2B Software,Cornered Resource,Switching Costs,Scale,Cornered Resource: Exclusive Ip,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
